Game;Player;Points;Question;Answer;Props;Prize
10;73;-1;Перед вами программа концерта в Императорском училище правоведения, одном из самых престижных учебных заведений России XIX и начала XX века. Открывался концерт увертюрой к опере Моцарта «Волшебная флейта», потом ещё следовали какие-то произведения, вы можете их изучить. И последний номер программы мы от вас скрыли. Каким произведением заканчивался этот концерт?;Боже, царя храни!;NULL;100000
11;111;1;"Вопрос снят самими телезрителями.
Мы находимся на горе Ведьм в одном из литовских курортных городков. Здесь можно увидеть множество статуй, изображающих героев литовского фольклора. Данная группа скульптур иллюстрирует легенду, по которой чёрт приходил на праздник к людям, обманывал их и похищал женщин. Боясь такой участи, женщины научились определять, мужчина рядом с ними или чёрт. Назовите этот способ. ";Наступает на пальцы ног;NULL;0
11;112;-1;"Внимание, Масабуми Хосоно!
Перед вами Масабуми Хосоно. Это японский государственный служащий, который в 1910 году был направлен в Российскую империю для ознакомления с работой железнодорожного транспорта. Покончив с делами, он отправился домой через Европу и Америку. В итоге, его командировка продлилась несколько лет, но оказавшись на родине, он стал объектом критики как со стороны общества, так и со стороны прессы. Почему соотечественники сочли его трусом? ";Не умер на Титанике;Фотография Масабуми Хосоно;200000
11;113;-1;"     Где-то вместе с тем портретом 
    Размещал автопортреты, 
    Но не хотел, чтоб сам портрет 
    Был принят за автопортрет. 

О чём речь? ";"О романе ""Евгений Онегин""";NULL;60000
11;68;1;Сергей Довлатов как-то заметил: «Одни читают это слева направо, а другие — справа налево». О чём это Довлатов? Что у нас за кулисами?;Меню;NULL;70000
11;114;-1;ВОПРОС ТРИНАДЦАТОГО СЕКТОРА: Я и мой друг Алексей Кортнев любим две игры: «Что? Где? Когда?» и, конечно, гольф, которому мы уделяем очень много времени. Сейчас мы находимся на Кипре. И вот здесь нашему вниманию предоставились вот такие конструкции. Это непонятные трубки строительные, которые лежат возле деревьев. Что это значит? Для чего? И с чем его едят? ;Кормушки для грызунов;NULL;70000
11;115;-1;В 2007 году Министерство финансов Шри-Ланки обратилось с просьбой о помощи в связи с дефицитом монет. К кому именно оно обратилось и с какой просьбой? ;К детям, отдать мелочь;NULL;80000
11;116;-1;"Внимание, чёрный ящик!
В 2013 году студенты Лестерского университета рассчитали параметры некоторых объектов, а затем с помощью уравнения Бернулли вычислили силу, способную их разрушить. По их расчётам, для этого была необходима скорость: для одного объекта — 4 829, для второго — 6 662, а для третьего — 8 301 м/с. То, где студенты нашли данные для своих расчётов, сейчас находится в чёрном ящике. Что в чёрном ящике? ";"Сказка ""Три поросёнка""";"Чёрный ящик с книгой ""Три поросёнка""";90000
11;117;1;"Внимание, спички и магнит!
С помощью этих предметов французский писатель Бернар Вербер предлагает решить казалось бы неразрешимую проблему. Что нужно сделать, и какой проблеме идёт речь? ";Найти иголку в стоге сена;Спички и магнит;0
11;118;0;Перед вами современная интерпретация классической японской композиции из трёх обезьян. Что делает четвёртая обезьяна? ;Смотрит в телефон;NULL;0
11;119;0;За использование этого снимка фотограф Дэвид Слейтер первое время получал хорошие деньги, но после того, как этот снимок стал очень популярен в интернете, платить ему перестали, и он подал в суд иск о нарушении авторских прав. Почему его иск был отклонён?;Снимок сделала сама обезяьна;NULL;0
11;120;1;В XVIII веке биолог Жорж де Бюффон для книги «Естественная история» описывал новый вид обезьян из рода павианов, бабуинов. В процессе работы семейство, ранее выдавшее учёному кредит, потребовало через суд вернуть свои деньги. Назовите фамилию кредиторов.;Бабуин;NULL;0
11;121;1;В Москве много переулков, получивших своё название от профессий людей, которые там жили. Например, на месте Трубниковского переулка жили трубочисты и печники, на месте Кисловского — кислошники (те, кто заготавливал соления для царского стола). А кто жил на месте Воротниковского переулка?;Стражи городских ворот;NULL;0
11;122;-1;"Внимание, солана!
Перед вами шляпа, придуманная в XVI веке в Венеции. С какой целью придумали такую шляпу? ";Осветлять волосы на солнце;"Шляпа ""солана""";100000
